,timestamp,x_A,y_A,roomID_A,roomCategory_A,x_B,y_B,roomID_B,roomCategory_B
109,109,0.0,0.0,4A_00_00,ward_room,2.0,1.0,H_02_00,hallway
110,110,0.0,0.0,4A_00_00,ward_room,2.0,2.0,H_02_00,hallway
111,111,0.0,0.0,4A_00_00,ward_room,2.0,3.0,H_02_04,hallway
112,112,0.0,0.0,4A_00_00,ward_room,2.0,4.0,H_02_04,hallway
113,113,0.0,0.0,4A_00_00,ward_room,2.0,5.0,H_02_04,hallway
114,114,0.0,0.0,4A_00_00,ward_room,2.0,6.0,H_02_04,hallway
115,115,0.0,0.0,4A_00_00,ward_room,2.0,7.0,H_02_08,hallway
116,116,0.0,0.0,4A_00_00,ward_room,2.0,8.0,H_02_08,hallway
117,117,0.0,0.0,4A_00_00,ward_room,2.0,9.0,H_02_08,hallway
118,118,0.0,0.0,4A_00_00,ward_room,2.0,10.0,H_02_08,hallway
119,119,0.0,0.0,4A_00_00,ward_room,2.0,11.0,H_02_12,hallway
120,120,0.0,0.0,4A_00_00,ward_room,2.0,12.0,H_02_12,hallway
121,121,0.0,0.0,4A_00_00,ward_room,2.0,13.0,H_02_12,hallway
122,122,0.0,0.0,4A_00_00,ward_room,2.0,14.0,H_02_14,hallway
123,123,0.0,0.0,4A_00_00,ward_room,2.0,15.0,H_02_14,hallway
124,124,0.0,0.0,4A_00_00,ward_room,2.0,16.0,H_02_14,hallway
125,125,0.0,0.0,4A_00_00,ward_room,2.0,17.0,H_02_14,hallway
126,126,0.0,0.0,4A_00_00,ward_room,2.0,18.0,H_02_20,hallway
127,127,0.0,0.0,4A_00_00,ward_room,2.0,19.0,H_02_20,hallway
128,128,0.0,0.0,4A_00_00,ward_room,2.0,20.0,H_02_20,hallway
129,129,0.0,0.0,4A_00_00,ward_room,3.0,20.0,NS_04_20,nurse_station
130,130,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
131,131,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
132,132,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
133,133,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
134,134,0.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
135,135,1.0,0.0,4A_00_00,ward_room,4.0,20.0,NS_04_20,nurse_station
136,136,2.0,0.0,H_02_00,hallway,4.0,20.0,NS_04_20,nurse_station
137,137,2.0,1.0,H_02_00,hallway,4.0,20.0,NS_04_20,nurse_station
138,138,2.0,2.0,H_02_00,hallway,4.0,20.0,NS_04_20,nurse_station
139,139,2.0,3.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
140,140,2.0,4.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
141,141,2.0,5.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
142,142,2.0,6.0,H_02_04,hallway,4.0,20.0,NS_04_20,nurse_station
143,143,2.0,7.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
144,144,2.0,8.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
145,145,2.0,9.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
146,146,2.0,10.0,H_02_08,hallway,4.0,20.0,NS_04_20,nurse_station
147,147,2.0,11.0,H_02_12,hallway,4.0,20.0,NS_04_20,nurse_station
148,148,2.0,12.0,H_02_12,hallway,4.0,20.0,NS_04_20,nurse_station
149,149,2.0,13.0,H_02_12,hallway,4.0,20.0,NS_04_20,nurse_station
150,150,2.0,14.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
151,151,2.0,15.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
152,152,2.0,16.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
153,153,2.0,17.0,H_02_14,hallway,4.0,20.0,NS_04_20,nurse_station
154,154,2.0,18.0,H_02_20,hallway,4.0,20.0,NS_04_20,nurse_station
155,155,2.0,19.0,H_02_20,hallway,4.0,20.0,NS_04_20,nurse_station
156,156,2.0,20.0,H_02_20,hallway,4.0,20.0,NS_04_20,nurse_station
157,157,3.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
158,158,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
159,159,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
160,160,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
161,161,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
162,162,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
163,163,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
164,164,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
165,165,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
166,166,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
167,167,4.0,20.0,NS_04_20,nurse_station,4.0,20.0,NS_04_20,nurse_station
